City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,portland,45.5234,-122.6762,291.28,81,75,1.54,US,1691588824
259,la libertad,-2.2333,-80.9,297.96,83,75,3.09,EC,1691589100
260,kanniyakumari,8.0833,77.5667,300.58,77,100,9.06,IN,1691589101
261,zhalantun,48.0,122.7167,289.84,88,93,2.46,CN,1691589101
262,xinyuan,37.3,99.0,285.96,86,94,1.27,CN,1691589101
263,skowhegan,44.7651,-69.7192,295.46,79,98,5.93,US,1691589101
264,novodvinsk,64.4165,40.8122,298.94,42,1,2.72,RU,1691589101
265,avarua,-21.2078,-159.775,295.18,73,20,6.17,CK,1691589101
266,okha,53.5739,142.9478,284.97,95,18,2.48,RU,1691589102
267,nyrob,60.733,56.7202,295.98,51,96,2.34,RU,1691589102
268,fonte boa,-2.4959,-66.2662,303.11,65,47,0.69,BR,1691589102
269,wewak,-3.5534,143.6268,300.09,84,73,4.69,PG,1691589102
270,prince rupert,54.3161,-130.3201,286.2,94,100,7.2,CA,1691588982
271,carthage,36.8611,10.3316,303.89,42,20,3.6,TN,1691588957
272,presidencia de la plaza,-27.0015,-59.8424,289.89,86,100,1.94,AR,1691589103
273,keflavik,64.0049,-22.5624,290.1,55,75,5.14,IS,1691589103
274,namsos,64.4662,11.4957,293.18,40,20,8.75,NO,1691589103
275,goth garelo,27.4352,68.0755,314.94,23,92,4.69,PK,1691589103
276,enewetak,11.3474,162.3373,301.28,79,96,5.45,MH,1691589103
277,pointe-calumet,45.5001,-73.9659,295.43,79,40,4.12,CA,1691589103
278,sisimiut,66.9395,-53.6735,280.58,70,100,3.04,GL,1691589104
279,saint-philippe,-21.3585,55.7679,295.92,79,39,3.96,RE,1691589104
280,santa ana de yacuma,-13.75,-65.4333,298.12,61,74,2.57,BO,1691589104
281,east london,-33.0153,27.9116,291.67,68,100,6.17,ZA,1691589104
282,petrovsk,52.3064,45.3917,302.06,35,44,3.18,RU,1691589104
283,kinana,14.0361,33.1712,307.9,36,67,4.9,SD,1691589104
284,nar'yan-mar,67.6713,53.087,294.83,55,25,4.74,RU,1691589105
285,ulladulla,-35.35,150.4667,285.27,68,81,3.48,AU,1691589105
286,talnakh,69.4865,88.3972,294.38,52,61,5.1,RU,1691589105
287,carmen,18.6333,-91.8333,302.17,74,40,8.23,MX,1691588871
288,kahramanmaras,38.0,37.0,306.32,17,0,7.03,TR,1691589105
289,arteche,12.2645,125.4048,299.75,84,10,2.62,PH,1691589105
290,yeppoon,-23.1333,150.7333,288.03,79,20,4.79,AU,1691589106
291,port lincoln,-34.7333,135.8667,285.26,70,3,6.81,AU,1691589106
292,zhumysker,49.3333,49.4,307.64,22,26,5.56,KZ,1691589106
293,ancud,-41.8697,-73.8203,284.72,89,100,10.07,CL,1691589106
294,port alfred,-33.5906,26.891,292.14,74,75,3.58,ZA,1691589106
295,gavrilov posad,56.5597,40.1175,298.3,59,92,5.1,RU,1691589106
296,andrelandia,-21.7397,-44.3092,293.79,61,80,3.96,BR,1691589107
297,remire-montjoly,4.9167,-52.2667,304.17,66,75,2.57,GF,1691589107
298,siwa oasis,29.2041,25.5195,309.96,21,0,4.45,EG,1691589107
299,bac lieu,9.285,105.7244,301.1,77,1,5.41,VN,1691589107
300,viqueque,-8.8673,126.3658,295.75,89,63,1.67,TL,1691589107
301,mountain home,43.133,-115.6912,290.45,56,40,4.63,US,1691589107
302,tombodu,8.1333,-10.6167,299.11,91,89,1.69,SL,1691589108
